Title of the programme,"Workshops/Seminars/Guest Lecture/Entrepreneurship and Skill Development/ Soft skills/ Language and communication skills/ Life skills (Yoga, physical fitness, health and hygiene)/Awareness of trends in technology & Sports and culturals",DD-MM-YYYY (From - To),Level (National/International),"Name of the Resourse Person/ agencies/consultants involved  for content deilvery with contact details, if any"
AI PC Revolution:Building Next -Gen Healthcare ,3 days Workshops,16-07-25 to 18-07-25,National,"Akshay BHUVANESWARI Ramakrishnan , intel innovator, intel certified ML instructor , certified Mlops professionak , USA, AKSHAY2810.SAS@GMAIL.COM"
The Power of AIML :Focuses on the real  world impact  and application of AIML   ,Depart ment Association Inguration & Guest Lecturer,8.8.25,National,"Mr.Prabhu Gangachalem, Application Architect ,IBM Mr.Kalaivannan Eswaramoorthy ,Technical Specialist ,IBM"
Guest lecturer on Soft Skills with Psychological Perspective and Project Formulation with AIML Techniques. ,Guest Lecture,22.8.2025,National,"1.Mr. Suresh Kumar, Chief Departing Officer , Sholas Technologies PVT  LTD , I7:I9"
"Guest lecturer on Entrepreneurship in AIML,AIML Technique in textile industry Advancement, Block chain technology in Marketing, Block chain technology in Marketing",Guest Lecture,23.8.2025,National,"1.Vijayakumar Sundararajan, Senior Procurement Manager,Tiruppur"
,,,,
,,,,
,,,,
Spearheading AI trends with Hands - on workshop on Gen AI and AI Agents,1 day Workshops,18.9.2025,National,"Mr. Rajsekar, Associate - AI Engineer, Zequin"
INNOVIA'25,Neuro Hack,06.11.2025,National,
Next Generation AI Application Development Using FastAI,WORKSHOP,03.03.2026 TO 04.03.2026,National,"Mr. Vasanth Nagarajan ,  Co-Founder & CTO ,Pinesphere Technologies ,COIMBATORE "
